short_title,weight,width,height,vertical,cx,cy
Garena Free Fire,48,0.7559027777777778,0.0888888888888888,0,0.0,0.0
Clash of Clans,43,0.5883680555555555,0.0819444444444444,0,0.0,0.0888
PUBG MOBILE,38,0.5069444444444444,0.0722222222222222,0,0.7559,0.0
Subway Surfers,37,0.5578125,0.0694444444444444,0,0.5883,0.1554
Candy Crush Saga,36,0.6385416666666667,0.0666666666666666,0,0.5883,0.0888
Clash Royale,35,0.4333333333333333,0.0652777777777778,0,0.5107,0.2248
Mobile Legends,34,0.5107638888888888,0.0652777777777778,0,0.0,0.1707
Roblox,31,0.1996527777777777,0.0583333333333333,0,1.0256,0.4246
8 Ball Pool,31,0.3098958333333333,0.0583333333333333,0,0.944,0.2248
Brawl Stars,29,0.31875,0.0555555555555555,0,0.9648,0.2831
My Talking Tom,28,0.4090277777777777,0.0527777777777777,0,0.0,0.2359
Pokémon GO,26,0.3227430555555555,0.0472222222222222,0,0.4343,0.3372
Sniper 3D,26,0.2470486111111111,0.0472222222222222,0,1.0505,0.3774
Call of Duty,26,0.2935763888888889,0.0472222222222222,0,0.757,0.3774
Dream League Soccer,25,0.5310763888888889,0.0472222222222222,0,0.0,0.29
My Talking Angela,25,0.4338541666666666,0.0472222222222222,0,0.531,0.29
Hay Day,24,0.1967013888888888,0.0458333333333333,0,0.2864,0.5342
Among Us,24,0.2364583333333333,0.0458333333333333,0,0.6027,0.494
Pou,24,0.0842013888888888,0.0458333333333333,0,1.2252,0.4246
Gardenscapes,23,0.3163194444444444,0.0430555555555555,0,0.0,0.4149
Minion Rush,23,0.2685763888888888,0.0430555555555555,0,0.3342,0.4593
Hill Climb Racing,22,0.3595486111111111,0.0402777777777777,0,0.0,0.3747
Homescapes,22,0.2717013888888889,0.0402777777777777,0,0.9372,0.4829
Temple Run 2,22,0.2864583333333333,0.0402777777777777,0,0.0,0.4954
Farm Heroes Saga,21,0.3689236111111111,0.0388888888888888,0,0.757,0.3386
Township,20,0.1762152777777777,0.0388888888888888,0,1.1259,0.3386
Candy Crush Soda,20,0.3550347222222222,0.0388888888888888,0,0.3595,0.3844
Traffic Rider,19,0.2196180555555555,0.0361111111111111,0,0.4831,0.5398
PUBG MOBILE LITE,19,0.3423611111111111,0.0361111111111111,0,0.6833,0.4246
Ludo King,19,0.1814236111111111,0.0361111111111111,0,0.0,0.752
Trivia Crack,19,0.2131944444444444,0.0361111111111111,0,0.0,0.5994
Hungry Shark Evolution,19,0.434375,0.0361111111111111,0,0.0,0.3386
Plants vs Zombies,19,0.3342013888888889,0.0361111111111111,0,0.0,0.4593
Geometry Dash Lite,19,0.3670138888888889,0.0361111111111111,0,0.3163,0.4232
Score,18,0.0975694444444443,0.0333333333333333,0,0.7406,0.7324
eFootball PES 2021,18,0.3345486111111111,0.0333333333333333,0,0.6027,0.4607
Lords Mobile,18,0.2192708333333333,0.0333333333333333,0,0.2131,0.5994
Gangstar Vegas,17,0.2586805555555556,0.0319444444444444,0,0.8391,0.5231
Traffic Racer,17,0.203298611111111,0.0319444444444444,0,0.0,0.7881
Dr. Driving,17,0.1748263888888888,0.0319444444444444,0,0.0,0.82
Boom Beach,17,0.20625,0.0319444444444444,0,0.0,0.7201
Zombie Tsunami,17,0.2694444444444444,0.0319444444444444,0,0.0,0.5675
Coin Master,17,0.1953125,0.0319444444444444,0,0.1814,0.752
Angry Birds 2,17,0.2211805555555555,0.0319444444444444,0,0.2276,0.6605
Pixel Gun 3D,17,0.2102430555555555,0.0319444444444444,0,1.0977,0.5231
The Sims FreePlay,16,0.2814236111111111,0.0319444444444444,0,0.0,0.5356
Bowmasters,16,0.1904513888888888,0.0319444444444444,0,0.2062,0.7201
Sonic Dash,16,0.171875,0.0319444444444444,0,0.1748,0.82
Fruit Ninja,16,0.1571180555555555,0.0319444444444444,0,0.2032,0.7839
SimCity BuildIt,16,0.2276041666666666,0.0319444444444444,0,0.0,0.6605
Plants vs. Zombies,16,0.2911458333333334,0.0319444444444444,0,0.2864,0.5023
Castle Clash,15,0.1786458333333334,0.0277777777777777,0,0.3466,0.8158
Jetpack Joyride,15,0.2144097222222222,0.0277777777777777,0,0.4487,0.6604
Fishdom,15,0.1201388888888888,0.0277777777777777,0,0.6746,0.7978
Temple Run,15,0.1675347222222222,0.0277777777777777,0,0.7599,0.6244
Standoff 2,15,0.1494791666666666,0.0277777777777777,0,0.5252,0.8102
Top Eleven 2021,15,0.2383680555555556,0.0277777777777777,0,0.4323,0.58
Talking Tom Gold,15,0.2437499999999999,0.0277777777777777,0,0.2947,0.6327
Cooking Fever,15,0.2057291666666666,0.0277777777777777,0,0.6876,0.5967
Garena Liên Quân,15,0.2600694444444444,0.0277777777777777,0,0.0,0.6924
Need for Speed,14,0.2100694444444444,0.0263888888888888,0,0.0,0.8519
Banana Kong,14,0.1774305555555555,0.0263888888888888,0,0.6631,0.659
CSR Racing 2,14,0.1805555555555555,0.0263888888888888,0,0.3966,0.7187
Brain Out,14,0.128298611111111,0.0263888888888888,0,1.1809,0.555
Crossy Road,14,0.1668402777777777,0.0263888888888888,0,0.3988,0.8435
Criminal Case,14,0.1875,0.0263888888888888,0,0.3603,0.7839
War Robots. 6v6,14,0.2215277777777777,0.0263888888888888,0,0.5384,0.6327
MORTAL KOMBAT,14,0.2300347222222222,0.0263888888888888,0,0.26,0.6924
My Cafe,14,0.109375,0.0263888888888888,0,0.7635,0.8255
Last Day on,14,0.1598958333333333,0.0263888888888888,0,1.1461,0.1554
Brain Test,14,0.1328125,0.0263888888888888,0,0.5771,0.7131
Agar.io,14,0.093923611111111,0.0263888888888888,0,0.8728,0.8254
Minecraft,14,0.1269097222222222,0.0263888888888888,0,0.7099,0.7061
The Simpsons,14,0.1888888888888888,0.0263888888888888,0,0.21,0.8519
DEER HUNTER CLASSIC,13,0.2947916666666666,0.025,0,0.0,0.6355
Angry Birds Go,13,0.1881944444444445,0.025,0,0.49,0.6881
Grow Empire,13,0.1618055555555555,0.025,0,1.1461,0.1817
World of Tanks,13,0.1826388888888888,0.025,0,0.8933,0.5967
Episode,13,0.0987847222222222,0.025,0,1.2089,0.4829
My Talking Tom,13,0.1902777777777777,0.025,0,0.3767,0.752
Extreme Car Driving,13,0.2553819444444445,0.025,0,0.4323,0.6077
Plague Inc.,12,0.1269097222222222,0.0208333333333333,0,0.7947,0.7866
Modern Combat 5,12,0.2069444444444444,0.0208333333333333,0,0.9723,0.5758
Fallout Shelter,12,0.1668402777777777,0.0208333333333333,0,0.8405,0.6521
Vector,12,0.0737847222222223,0.0208333333333333,0,1.2306,0.6174
Monster Legends,12,0.1979166666666666,0.0208333333333333,0,0.5656,0.8379
Granny,12,0.0845486111111111,0.0208333333333333,0,1.0571,0.7809
Toon Blast,12,0.1182291666666666,0.0208333333333333,0,0.8381,0.7241
Kick the Buddy,12,0.1737847222222222,0.0208333333333333,0,0.5669,0.745
Special Forces Group,12,0.2432291666666666,0.0208333333333333,0,0.7027,0.555
Carrom Pool,12,0.1404513888888889,0.0208333333333333,0,1.0902,0.6174
Shadow Fight 3,11,0.1628472222222222,0.0208333333333333,0,0.9274,0.6217
Dream League Soccer,11,0.2350694444444445,0.0208333333333333,0,0.9459,0.555
DEAD TRIGGER 2,11,0.1828125,0.0208333333333333,0,0.5478,0.777
Mini Militia,11,0.1147569444444445,0.0208333333333333,0,0.9667,0.8225
AFK Arena,11,0.1098958333333333,0.0208333333333333,0,1.0814,0.8211
Bid Wars,11,0.0935763888888889,0.0208333333333333,0,0.9563,0.7421
Avakin Life,11,0.1159722222222222,0.0208333333333333,0,0.9386,0.8017
EA SPORTS UFC,11,0.1671875,0.0208333333333333,0,0.6781,0.6853
World Cricket Championship,11,0.3017361111111111,0.0208333333333333,0,0.6706,0.5759
Bike Race Free,11,0.1565972222222222,0.0208333333333333,0,0.7306,0.7658
Bubble Witch 2,11,0.1614583333333333,0.0208333333333333,0,1.0759,0.5966
Toy Blast,11,0.0947916666666666,0.0208333333333333,0,0.8391,0.494
Bowling King,11,0.1376736111111111,0.0208333333333333,0,1.1628,0.6382
FarmVille 2,11,0.1182291666666666,0.0208333333333333,0,0.8381,0.7449
DragonFlight,11,0.1376736111111111,0.0208333333333333,0,1.1628,0.659
Dragon Mania Legends,10,0.2222222222222222,0.0194444444444444,0,0.3988,0.8698
Call of Duty,10,0.1133680555555555,0.0194444444444444,0,1.1912,0.6978
CATS,10,0.0493055555555554,0.0194444444444444,0,1.1287,0.7615
Pooking,10,0.0758680555555555,0.0194444444444444,0,0.5107,0.1707
Flight Pilot Simulator,10,0.2010416666666666,0.0194444444444444,0,0.621,0.8587
Angry Birds Epic,10,0.1583333333333333,0.0194444444444444,0,0.2694,0.58
94,10,0.0246527777777778,0.0194444444444444,0,0.5775,0.5023
Zynga Poker,10,0.120486111111111,0.0194444444444444,0,1.0545,0.8017
Injustice,10,0.0807291666666667,0.0194444444444444,0,1.2268,0.0722
Happy Color,10,0.1190972222222221,0.0194444444444444,0,0.9683,0.8433
Bubble Witch 3,10,0.1463541666666666,0.0194444444444444,0,0.822,0.8518
CSR Racing,10,0.1109374999999999,0.0194444444444444,0,1.1912,0.7172
Swamp Attack,10,0.1390625,0.0194444444444444,0,1.0234,0.6619
Tiles Hop,10,0.0885416666666667,0.0194444444444444,0,1.0498,0.7421
101 Yüzbir Okey,10,0.1555555555555555,0.0194444444444444,0,1.0073,0.6425
Magic Tiles 3,9,0.1133680555555555,0.0180555555555555,0,1.1912,0.7726
GUNSHIP BATTLE,9,0.148611111111111,0.0180555555555555,0,0.822,0.8712
Eternium,9,0.0788194444444444,0.0180555555555555,0,1.2268,0.1276
Real Steel World,9,0.1430555555555555,0.0180555555555555,0,1.1624,0.6798
Red Ball 4,9,0.0880208333333334,0.0180555555555555,0,0.9372,0.4607
Clash of Kings,9,0.1229166666666666,0.0180555555555555,0,1.0961,0.8599
Cut the Rope,9,0.1131944444444444,0.0180555555555555,0,1.1912,0.7906
New Star Soccer,9,0.143923611111111,0.0180555555555555,0,0.7947,0.8074
Critical Ops,9,0.1003472222222221,0.0180555555555555,0,0.409,0.2359
Talking Tom Cat,9,0.1364583333333333,0.0180555555555555,0,0.8871,0.7657
Harry Potter,9,0.1052083333333333,0.0180555555555555,0,1.0235,0.7629
Word Cookies,9,0.1182291666666666,0.0180555555555555,0,1.1912,0.7366
Soccer Stars,9,0.109375,0.0180555555555555,0,0.9563,0.7241
The Tribez,9,0.0888888888888888,0.0180555555555555,0,1.219,0.8446
Minecraft Trial,9,0.1230902777777778,0.0180555555555555,0,1.0873,0.8419
Fun Race 3D,9,0.109548611111111,0.0180555555555555,0,1.1912,0.8086
Beach Buggy Racing,9,0.179861111111111,0.0180555555555555,0,0.8368,0.7061
Block Craft 3D,9,0.1255208333333333,0.0180555555555555,0,0.9706,0.8627
My Home,9,0.0819444444444443,0.0180555555555555,0,1.2268,0.0916
Where,9,0.0564236111111111,0.0180555555555555,0,1.2373,0.5993
LINE Rangers,9,0.1157986111111111,0.0180555555555555,0,1.1912,0.7546
Parchisi STAR Online,9,0.1782986111111111,0.0180555555555555,0,0.8452,0.6729
Vlogger Go Viral,9,0.1416666666666666,0.0180555555555555,0,1.0166,0.6909
Yu,9,0.0196180555555556,0.0180555555555555,0,0.5775,0.5217
Empires,9,0.0701388888888889,0.0180555555555555,0,1.2373,0.5813
Worms Zone .io,9,0.1355902777777777,0.0180555555555555,0,0.9216,0.7837
Asphalt 9,9,0.0817708333333333,0.0180555555555555,0,1.2268,0.1096
Cooking Madness,9,0.1524305555555555,0.0180555555555555,0,1.1461,0.2067
Best Fiends,9,0.0994791666666666,0.0180555555555555,0,1.2103,0.8266
